,can,QED,logP,molWt,herg,drd3,fold,profile
65,CS(=O)(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3noc4ccc(F)cc34)CC1,0.767685349,3.6444,423.554,0,1,2,1
66,CS(=O)(=O)N[C@@H]1CC[C@@H](CCN2CCN(CC2)c3nccc4OCCc34)CC1,0.771321354,1.6366,408.568,0,1,2,1
67,CS(=O)(=O)Nc1cc(OCCNCc2ccccc2)ccc1Cl,0.71520065,2.8801,354.859,0,1,2,1
68,CS(=O)(=O)Nc1ccc(CCN2CC3COc4ccc(cc4C3C2)C#N)cc1,0.83853936,2.58028,397.5,0,1,2,1
69,CS(=O)(=O)Oc1ccc2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)\C=C\c4ccc(F)cc4)CCc2c1,0.418980846,4.3432,514.663,0,1,2,1
70,CS(=O)(=O)Oc1ccc2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)\C=C\c4ccccc4F)CCc2c1,0.418980846,4.3432,514.663,0,1,2,1
71,CS(=O)(=O)Oc1ccc2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)c4cccc(c4)n5cccc5)CCc2c1,0.426817653,4.5952,535.71,0,1,2,1
72,CS(=O)(=O)Oc1ccc2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)c4cccc5ccccc45)CCc2c1,0.445991677,4.9577,520.695,0,1,2,1
73,CS(=O)(=O)Oc1ccc2CN(CC[C@@H]3CC[C@H](CC3)NC(=O)\C=C\c4ccc(F)cc4)Cc2c1,0.445843878,4.2582,486.609,0,1,2,1
74,CS(=O)(=O)Oc1ccc2[C@@H]3CCCN(CCCCNC(=O)c4ccc(cc4)c5ccccc5)[C@H]3CCc2c1,0.295188359,5.3964,532.706,0,1,2,1
75,CS(=O)(=O)Oc1cccc2C3CCCN(CCCCNC(=O)c4ccc(cc4)c5ccccc5)C3CCc12,0.295188359,5.3964,532.706,0,1,2,1
76,CS(=O)(=O)Oc1cccc2[C@H]3CCCN(CCCCNC(=O)c4ccc(cc4)c5ccccc5)[C@H]3CCc12,0.295188359,5.3964,532.706,0,1,2,1
77,CS(=O)(=O)c1ccc(cc1)C(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4cccc5OCCc45)CC2,0.590035943,4.5833,510.7,0,1,2,1
78,CS(=O)(=O)c1ccc(cc1)C(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4coc5ccccc45)CC2,0.462608587,5.3946,508.684,0,1,2,1
79,CS(=O)(=O)c1ccc(s1)C(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4cccc5OCCc45)CC2,0.58009082,4.6448,516.729,0,1,2,1
80,CS(=O)(=O)c1ccc2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)\C=C\c4cc(F)cc(F)c4)CCc2c1,0.548779118,4.5474,516.654,0,1,2,1
81,CS(=O)(=O)c1ccc2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)\C=C\c4ccc(cc4)C#N)CCc2c1,0.571404375,4.14088,505.684,0,1,2,1
82,CS(=O)(=O)c1cccc(\C=C\C(=O)N[C@@H]2CC[C@@H](CCN3CCc4cc(ccc4C3)C#N)CC2)c1,0.589197569,4.09838,491.657,0,1,2,1
83,CSc1ccc(cc1)C2(O)CCN(Cc3coc4ccccc34)CC2,0.693484526,4.6383,353.487,0,1,2,1
84,CSc1ccc(cc1)[C@]2(O)C[C@H]3CC[C@@H](C2)N3Cc4c[nH]c5ccccc45,0.634130884,4.9044,378.541,0,1,2,1
85,CSc1ccccc1N2CCN(CCCCNC(=O)c3cc4ccccn4n3)CC2,0.444635191,3.3884,423.586,0,1,2,1
86,C[C@@H](CCCN1C(=O)CCc2ccccc12)N3CCN(CC3)c4cc(nc(n4)C(C)(C)C)C(F)(F)F,0.551514239,5.063,503.613,0,1,2,1
87,C[C@@H]1C[C@H](C)N1C(=O)[C@H]2CN(C)C3Cc4c[nH]c5cccc(C3=C2)c45,0.869929243,3.0469,335.451,0,1,2,1
88,C[C@@]1(O)CC[C@@H](CC1)C(=O)N[C@@H]2CC[C@@H](CCN3CCN(CC3)c4nccc5OCCc45)CC2,0.665179167,3.1448,470.658,0,1,2,1
89,C[C@H](CCN1CCN(CC1)c2cc(nc(n2)C(C)(C)C)C(F)(F)F)CN3C(=O)CCc4ccccc34,0.560225451,4.9205,503.613,0,1,2,1
90,C[C@H]1C[C@H](C)N1C(=O)[C@H]2CN(C)C3Cc4c[nH]c5cccc(C3=C2)c45,0.869929243,3.0469,335.451,0,1,2,1
91,C\C=C\CC(=O)N[C@@H]1CC[C@@H](CCN2CCN(CC2)c3nccc4OCCc34)CC1,0.697378938,3.1698,412.578,0,1,2,1
92,Cc1[nH]c2ccccc2c1CN3CCC(O)(CC3)c4ccc(Cl)cc4,0.720351152,4.61332,354.881,0,1,2,1
93,Cc1c(CN2CCN(CC2)c3ccccc3)cnn1c4ccccc4,0.730696141,3.50292,332.451,0,1,2,1
94,Cc1c(n[nH]c1c2ccccc2)C3CCN(Cc4ccccc4)CC3,0.746939984,4.76472,331.463,0,1,2,1
95,Cc1c(nc(O)n1C2CCN(Cc3ccc(Cl)cc3)CC2)c4ccccc4,0.686707441,5.05462,381.907,0,1,2,1
96,Cc1c(nc(O)n1C2CCN(Cc3ccccc3)CC2)c4ccc(F)cc4,0.737927522,4.54032,365.452,0,1,2,1
97,Cc1c(nc(O)n1C2CCN(Cc3ccccc3)CC2)c4ccccc4,0.76035019,4.40122,347.462,0,1,2,1
98,Cc1c(nc(O)n1C2CCN(Cc3ccccc3)CC2)c4ccccc4Cl,0.686707441,5.05462,381.907,0,1,2,1
99,Cc1c(nnn1Cc2ccccc2)C(=O)NCCCCN3CCN(CC3)c4cccc(Cl)c4Cl,0.443906735,4.27382,501.462,0,1,2,1
