,can,QED,logP,molWt,herg,drd3,fold,profile
63,C\C=C\CC(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3coc4ccccc34)CC1,0.60280784,5.6435,408.586,0,1,2,1
64,Cc1c(cnn1C2CCN(Cc3cccc(Cl)c3)CC2)c4ccccc4,0.621061228,5.34902,365.908,0,1,2,1
65,Cc1c(n[nH]c1c2ccc(Cl)cc2)C3CCN(Cc4ccccc4)CC3,0.669138068,5.41812,365.908,0,1,2,1
66,Cc1c(nc(O)n1C2CCN(Cc3ccccc3)CC2)c4cccc(Cl)c4,0.686707441,5.05462,381.907,0,1,2,1
67,Cc1c(nnn1Cc2ccccc2)C(=O)NCCCCCN3CCN(CC3)c4cccc(Cl)c4Cl,0.398072287,4.66392,515.489,0,1,2,1
68,Cc1cc(CC(=O)N[C@@H]2CC[C@@H](CCN3CCN(CC3)c4cccc5OCOc45)CC2)on1,0.688439135,3.14152,454.571,0,1,2,1
69,Cc1cc(CC(=O)N[C@@H]2CC[C@@H](CCN3CCN(CC3)c4nccc5OCCc45)CC2)on1,0.69010179,2.74272,453.587,0,1,2,1
70,Cc1cc(c2oc3cc4CCN(CCCSc5nnc(c6ocnc6C)n5C)CCc4cc3n2)n(C)n1,0.231401157,4.21164,518.647,0,1,2,1
71,Cc1cc(ccc1c2ccccc2)C(=O)NCCCCN3CCc4ccc(OS(=O)(=O)C(F)(F)F)cc4C3,0.219262558,5.45872,546.611,0,1,2,1
72,Cc1cc(nc(n1)C(F)(F)F)N2CCN(CCCCNC(=O)c3cn4ccccc4n3)CC2,0.54551983,2.78372,461.492,0,1,2,1
73,Cc1cc(on1)C(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4coc5ccccc45)CC2,0.569745117,5.28752,435.568,0,1,2,1
74,Cc1cc2occc2c(n1)N3CCN(CC[C@@H]4CC[C@H](CC4)NC(=O)CC5CCOCC5)CC3,0.658621423,4.14002,468.642,0,1,2,1
75,Cc1ccc(C)c(c1)C(=O)CCCN2CCC(O)(CC2)c3ccc(Cl)cc3,0.718470059,4.90334,385.935,0,1,2,1
76,Cc1ccc(Cl)c(c1)N2CCN(CCCCNC(=O)c3ccc4OC(=O)Nc4c3)CC2,0.547810988,3.41512,442.947,0,1,2,1
77,Cc1ccc(OCCCNCCOc2ccccc2)cc1,0.716001834,3.43252,285.387,0,1,2,1
78,Cc1ccc(OCCNCCCOc2cccc(C)c2)cc1,0.715513047,3.74094,299.414,0,1,2,1
79,Cc1ccc(OCCNCCCOc2ccccc2)cc1C,0.715513047,3.74094,299.414,0,1,2,1
80,Cc1ccc(OCCNCCCOc2ccccc2)cc1Cl,0.706248452,4.08592,319.832,0,1,2,1
